Entity,Code,Year,Prevalence - Neoplasms - Sex: Both - Age: Age-standardized (Percent)
North America,,1990,4.786570085
North America,,1991,4.867187058
North America,,1992,4.941041159
North America,,1993,5.022695157
North America,,1994,5.073776709
North America,,1995,5.111654869
North America,,1996,5.105699798
North America,,1997,5.064130544
North America,,1998,5.009210877
North America,,1999,4.972523829
North America,,2000,4.964068469
North America,,2001,4.985860028
North America,,2002,5.028109198
North America,,2003,5.062894725
North America,,2004,5.082786147
North America,,2005,5.101094277
North America,,2006,5.109505746
North America,,2007,5.145648696
North America,,2008,5.198968828
North America,,2009,5.253082748
North America,,2010,5.272471708
North America,,2011,5.2844416
North America,,2012,5.287545906
North America,,2013,5.288388568
North America,,2014,5.293745296
North America,,2015,5.305269801
North America,,2016,5.330518949
North America,,2017,5.337754415
Puerto Rico,PRI,1990,0.855726758
Puerto Rico,PRI,1991,0.881028287
Puerto Rico,PRI,1992,0.904730109
Puerto Rico,PRI,1993,0.928892882
Puerto Rico,PRI,1994,0.928645139
Puerto Rico,PRI,1995,0.955039255
Puerto Rico,PRI,1996,0.964629164
Puerto Rico,PRI,1997,0.964833057
Puerto Rico,PRI,1998,0.993057414
Puerto Rico,PRI,1999,0.988607999
Puerto Rico,PRI,2000,1.00521047
Puerto Rico,PRI,2001,1.027802509
Puerto Rico,PRI,2002,1.043248377
Puerto Rico,PRI,2003,1.070782658
Puerto Rico,PRI,2004,1.091860266
Puerto Rico,PRI,2005,1.104028031
Puerto Rico,PRI,2006,1.109555795
Puerto Rico,PRI,2007,1.126246495
Puerto Rico,PRI,2008,1.144818191
Puerto Rico,PRI,2009,1.16388771
Puerto Rico,PRI,2010,1.167325495
Puerto Rico,PRI,2011,1.19175409
Puerto Rico,PRI,2012,1.18221727
Puerto Rico,PRI,2013,1.195100291
Puerto Rico,PRI,2014,1.20213428
Puerto Rico,PRI,2015,1.200065595
Puerto Rico,PRI,2016,1.228575687
Puerto Rico,PRI,2017,1.24440414
United States,USA,1990,4.852792093
United States,USA,1991,4.940159583
United States,USA,1992,5.019523243
United States,USA,1993,5.106994215
United States,USA,1994,5.160913166
United States,USA,1995,5.200514272
United States,USA,1996,5.190669617
United States,USA,1997,5.141232971
United States,USA,1998,5.075782776
United States,USA,1999,5.031554742
United States,USA,2000,5.020474928
United States,USA,2001,5.043646718
United States,USA,2002,5.088417171
United States,USA,2003,5.124804586
United States,USA,2004,5.145186764
United States,USA,2005,5.164942444
United States,USA,2006,5.175781155
United States,USA,2007,5.216547505
United States,USA,2008,5.276116914
United States,USA,2009,5.336933653
United States,USA,2010,5.358953641
United States,USA,2011,5.373411431
United States,USA,2012,5.374811749
United States,USA,2013,5.375621513
United States,USA,2014,5.377867777
United States,USA,2015,5.38784224
United States,USA,2016,5.416236441
United States,USA,2017,5.42440701
United States Virgin Islands,VIR,1990,1.013330831
United States Virgin Islands,VIR,1991,1.060625331
United States Virgin Islands,VIR,1992,1.107214262
United States Virgin Islands,VIR,1993,1.153703253
United States Virgin Islands,VIR,1994,1.195090537
United States Virgin Islands,VIR,1995,1.22631426
United States Virgin Islands,VIR,1996,1.248571376
United States Virgin Islands,VIR,1997,1.262005985
United States Virgin Islands,VIR,1998,1.273330401
United States Virgin Islands,VIR,1999,1.291914171
United States Virgin Islands,VIR,2000,1.314798834
United States Virgin Islands,VIR,2001,1.352054999
United States Virgin Islands,VIR,2002,1.404097281
United States Virgin Islands,VIR,2003,1.466515314
United States Virgin Islands,VIR,2004,1.533327425
United States Virgin Islands,VIR,2005,1.592167882
United States Virgin Islands,VIR,2006,1.657258318
United States Virgin Islands,VIR,2007,1.720199079
United States Virgin Islands,VIR,2008,1.776529888
United States Virgin Islands,VIR,2009,1.82484022
United States Virgin Islands,VIR,2010,1.85782513
United States Virgin Islands,VIR,2011,1.871129086
United States Virgin Islands,VIR,2012,1.877147359
United States Virgin Islands,VIR,2013,1.868607965
United States Virgin Islands,VIR,2014,1.84899389
United States Virgin Islands,VIR,2015,1.831456502
United States Virgin Islands,VIR,2016,1.795810804
United States Virgin Islands,VIR,2017,1.755177242
