State, Current 
Alabama,20.90%
Alaska,21.00%
Arizona,15.60%
Arkansas,22.30%
California,11.30%
Colorado,14.60%
Connecticut,12.70%
Delaware,17.00%
District of Columbia,14.30%
Florida,16.10%
Georgia,17.50%
Hawaii,12.80%
Idaho,14.30%
Illinois,15.50%
Indiana,21.80%
Iowa,17.10%
Kansas,17.40%
Kentucky,24.60%
Louisiana,23.10%
Maine,17.30%
Maryland,13.80%
Massachusetts,13.70%
Michigan,19.30%
Minnesota,14.50%
Mississippi,22.20%
Missouri,20.80%
Montana,17.20%
Nebraska,15.40%
Nevada,17.60%
New Hampshire,15.70%
New Jersey,13.70%
New Mexico,17.50%
New York,14.10%
North Carolina,17.20%
North Dakota,18.30%
Ohio,21.10%
Oklahoma,20.10%
Oregon,16.10%
Pennsylvania,18.70%
Rhode Island,14.90%
South Carolina,18.80%
South Dakota,19.30%
Tennessee,22.60%
Texas,15.70%
Utah,8.90%
Vermont,15.80%
Virginia,16.40%
Washington,13.50%
West Virginia,26.00%
Wisconsin,16.00%
Wyoming,18.70%
United States,16.40%
